id,name,type,address_original,address,gold_district,gold_ward,gold_price_range,gold_duration,gold_target_audience
7171779,Vietnam Adventure Tours,Tour thăm quan thành phố • Chuyến tham quan nhiều ngày,"Thành phố Hồ Chí Minh, 700000","123 Lý Tự Trọng, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
311103,Bảo tàng Chứng tích Chiến tranh,Viện bảo tàng lịch sử,"28 Vo Van Tan Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, 700000","28 Võ Văn Tần, Thành phố Hồ Chí Minh",Quận 3,Võ Thị Sáu,100.000–500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
1557134,TNK Travel,Tour thăm quan thành phố • Chuyến tham quan lịch sử & di sản,"90 Đ. Bùi Viện , Thành phố Hồ Chí Minh, 700000","57 Đường Bùi Viện, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
6721127,Kim Travel,Chuyến tham quan văn hóa • Chuyến tham quan lịch sử & di sản,Thành phố Hồ Chí Minh,"228 Đường Ðề Thám, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
2005826,Cu Chi Tunnels,Điểm thu hút khách tham quan & thắng cảnh,"Phú Hiệp , Thành phố Hồ Chí Minh","Tỉnh lộ 15, Ấp Phú Hiệp, Thành phố Hồ Chí Minh",Huyện Củ Chi,Nhuận Đức,300.000–2.000.000+ VNĐ,3–8 giờ,Người yêu lịch sử; Khách quốc tế; Sinh viên
7333808,Vietnam Travel Group,Chuyến tham quan nhiều ngày • Chuyến tham quan ngắm cảnh,"55B Đỗ Quang Đẩu , Thành phố Hồ Chí Minh, 700000","57 Ðỗ Quang Ðẩu, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
311089,Bưu điện trung tâm Sài Gòn,Tòa nhà kiến trúc • Tòa nhà chính phủ,"02 Công trường Công xã Paris , Thành phố Hồ Chí Minh, 70000","2 Công trường Công xã Paris, Phường Sài Gòn, Thành phố Hồ Chí Minh",Quận 1,Sài Gòn,100.000–500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
8599407,Saigon Adventure,Chuyến tham quan văn hóa • Chuyến tham quan mua sắm,"Thành phố Hồ Chí Minh, 700000","88/6 Mạc Đĩnh Chi, Phường Tân Định, Thành phố Hồ Chí Minh",Quận 1,Tân Định,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
8775058,Saigon On Motorbike,Chuyến tham quan bằng mô tô • Nếm bia & tham quan,Thành phố Hồ Chí Minh,"51/9A Cao Thắng, Phường Bàn Cờ, Thành phố Hồ Chí Minh",Quận 3,Bàn Cờ,300.000–2.000.000+ VNĐ,3–8 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
311087,Chợ Bến Thành,Chợ trời & chợ đường phố,"Lê Lợi, Phường Bến Thành, Quận 1 , Thành phố Hồ Chí Minh, 700000","Công trường Quách Thị Trang, Phường Bến Thành, Thành phố Hồ Chí Minh",Quận 1,Bến Thành,100.000–500.000 VNĐ,1–2 giờ,Khách du lịch; Cặp đôi; Nhóm bạn
